Sample Coleosporium_tussilaginis Dothistroma_septosporum Gremmenia_infestans Lophodermella_sulcigena Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
202 RM3-7115-T1-ITS 0 0.0592185869219948 0.000466747483129023 0 0.00152989452803402 0 0 0 0
203 RM3-7538-T1-ITS 0 0.0257806069253142 3.29254239148329e-05 0 7.1338418482138e-05 0 4.93881358722494e-05 0.000214015255446414 0
204 RM3-7609-T1-ITS 0 0.0645999492714821 4.50920158949356e-05 0 0.000225460079474678 0 0 0 0
205 RM3-7623-T1-ITS 0 0.00471520363302575 0 0 0.000140103386637036 0 0 0 0
206 RM4-7358-T1-ITS 0 0.000949164242394359 0.000110941275085055 0 0 0 0.000172575316798974 0 0
207 RM4-7411-T1-ITS 0 0.0125905908365066 0.000175478617930405 0 0.0012108024637198 0.000100900205309983 0 0 0
208 RM4-7436-T1-ITS 0 0.0256123062991141 0.000113196980619485 0 0 0 0 0 0
209 RM4-7620-T1-ITS 0 0.00121338992175821 0 0 0 6.8321504603503e-05 0 0 0
210 RM6-7031-T1-ITS 0 0.0149865082600509 0.000320307495195388 0 0.00070855900452313 0 0 0 0
211 RM6-7065-T1-ITS 0 0.00478594719680236 0.000289260544861681 0 5.69755618666947e-05 0 0 0.000727534097682409 0
212 RM6-7120-T1-ITS 0 0.0338730230117682 0 0 0.000262349149239187 0 0 0.000472228468630537 0
213 RM6-7203-T1-ITS 0 0.0211458108981262 0.000137841912556537 0 7.75360758130519e-05 0 0 2.15377988369589e-05 0
