Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii Sirococcus_piceicola
172 GE2-7530-T3-ITS 0 0 0.211899081905588 3.25309043591412e-05 0 0.00186149063832863 0 0 0.184862285838213 0
173 GE2-7555-T3-ITS 0 0 0.154873577158019 0 0 0.000813924622440716 4.47658542342394e-05 0 0.000231968517395604 0
174 GE6-7040-T3-ITS 0 0 0.252993743982272 2.41918705638157e-05 0 0.000996705067229208 0 0 0.0235483668068182 0
175 GE6-7186-T3-ITS 1.60735525765905e-05 0 0.191130613688237 0 0 0.000409875590703057 3.61654932973286e-05 5.22390458739191e-05 0.000188864242774938 0
176 GE6-7205-T3-ITS 0 0 0.0435649505889641 0 0 0.000493626411916722 0 0 3.38763223864417e-05 0
177 GE6-7213-T3-ITS 0 0 0.101823508641896 4.08531300792843e-05 0 0.00132480864685679 4.37712107992331e-05 0 0.000145904035997444 0
178 GE7-7423-T3-ITS 0 0 0.0849337140284574 7.70078311040553e-05 0 0.000906322935301574 0 0 0.000296183965784828 0
179 GE7-7427-T3-ITS 0 0 0.058068862635644 0 0 0.00198744014821588 0.000149178316209908 0 3.3685426240947e-05 0
180 GE7-7575-T3-ITS 0 0 0.0038369654291151 0.000149311776879592 0 0.000197924913538064 0 0 5.90302373710016e-05 0
181 GE7-7658-T3-ITS 0 0 0.145321345019978 4.97753322503428e-05 0 0.0012579583968723 4.97753322503428e-05 1.35750906137298e-05 0.00195028801817252 0
182 GE8-7242-T3-ITS 2.18413932624762e-05 0 0.0715169120638206 3.27620898937143e-05 0 0.000559685702350953 7.37147022608572e-05 0 2.18413932624762e-05 0
183 GE8-7333-T3-ITS 5.06810262907824e-05 0 0.0943744060817232 0 0 0.00660120367437441 0.00385175799809946 0 5.70161545771302e-05 0
184 GE8-7645-T3-ITS 1.56470035988108e-05 0 0.0155635529129505 2.08626714650811e-05 0 0.00241485422208314 0 0 0.000104313357325406 0
185 GE9-7002-T3-ITS 0 0 0.130253700683022 0 0 0.00127861007563543 0 0 0.000559391908090499 0
186 GE9-7053-T3-ITS 0 0 0.203198284462691 6.30712246138321e-05 0 0.000389894843067326 0 0 0.00100913959382131 0
187 GE9-7272-T3-ITS 0 0 0.0134538731980466 7.12410547950573e-05 0 0.00173115763151989 1.78102636987643e-05 0 0.00022440932260443 0
188 GE9-7480-T3-ITS 0 0 0.32501580187324 0 0 0.0012928805378383 0 0 0.0274808940987186 0
189 GT1-7236-T3-ITS 0 0 0.102719692670363 6.11166892216353e-05 0 0.00185969354345833 6.98476448247261e-05 0 0.0255816999170559 0
190 GT1-7384-T3-ITS 0 0 0.111309551339294 0 0 0.00035221164006105 0.00012451926668825 7.1153866679e-06 0.0009890387468381 0
191 GT1-7407-T3-ITS 0 0 0.026316246063624 0 0 0.00129260611949233 6.5064066417399e-05 0 0.00417711306399702 0
192 GT1-7482-T3-ITS 0 0 0.0680551794316289 7.3857061966075e-05 0 0.00215006113723463 5.74443815291694e-05 0 0.000894491083811353 0
193 GT2-7200-T3-ITS 0 0 0.0416199707203796 0.000164066838305821 0 0.00115856428895956 1.51446312282296e-05 0 0.000116108839416427 0
194 GT2-7210-T3-ITS 0 0 0.0317371739913453 2.53653884201929e-05 0 0.000664573176609053 3.04384661042315e-05 0 9.13153983126944e-05 0
195 GT2-7297-T3-ITS 0 0 0.136444064261358 7.61668170473055e-05 0 0.00158192620021327 8.20258029740213e-05 0 0.00325759617525399 0
196 GT2-7573-T3-ITS 0 0 0.307936746906975 0.00018281240758564 0 0.00168294951689133 0 0 0.000236580762757886 0
197 GT5-7107-T3-ITS 0 0 0.0622620840750377 0 0 0.000848966178282897 0 0 0.00322242001004154 0
198 GT5-7253-T3-ITS 0.000142388568232093 0 0.301309466297134 0 0 0.00288336850669989 0 0 0.000620407333011264 0
199 GT5-7309-T3-ITS 0 0 0.09543929667734 0 0 0.000707598796572982 0 0 0.113658693029388 0
