Sample Coleosporium_tussilaginis Cyclaneusma_minus Dothistroma_sp Gremmenia_infestans Gremmeniella_abietina Lophodermella_conjuncta Lophodermium_conigenum Lophodermium_seditiosum Pachyramichloridium_pini Rhizosphaera_kalkhoffii
150 GC1-7294-T2-ITS 0 0 0.041195307877058 0 0 0 0.000261060252706325 0 0 0
151 GC1-7368-T2-ITS 0 0 0.108437233989284 0 0 0 0.000560813179109709 0 4.00580842221221e-05 0
152 GC2-7078-T2-ITS 0 0 0.327307005671735 2.63311724217833e-05 0 6.84610482966365e-05 0.000152720800046343 0 0 0.00486600066354554
153 GC2-7136-T2-ITS 0 0 0.249495004640498 3.77959104824858e-05 0 0 0.000209977280458254 0 0 0.00918860579285321
154 GC2-7276-T2-ITS 0 0 0.136779787130795 3.23509430299893e-05 0 6.065801818123e-05 0.000384167448481123 0 0 0.00108375659150464
155 GC2-7507-T2-ITS 0 0 0.141638922151544 4.15302513272376e-05 0 4.84519598817772e-05 0.000671405729790341 0 0 0
156 GC5-7089-T2-ITS 0 0 0.0159554393543253 0.000136410139820393 0 0 0.00019552120040923 0 0 0.000227350233033989
157 GC5-7178-T2-ITS 0 0 0.170258884079794 3.45885917600751e-05 0 1.383543670403e-05 0.000475016660171698 8.53185263415185e-05 0 0.000126824836453609
158 GC5-7457-T2-ITS 0 0 0.00355548276991501 3.01677325932183e-05 0 2.15483804237274e-05 4.30967608474547e-05 4.30967608474547e-05 0 0
159 GC8-7367-T2-ITS 0 0 0.0536541845307427 0 0 0.000254906056497095 0.000279688589767646 0 0 0
160 GC8-7377-T2-ITS 0 0 0.226445034077311 0 0 0.000286145361843817 0.000312158576556891 0 0 0.000260132147130742
161 GC8-7501-T2-ITS 0 0 0.091876873830617 6.76269696354906e-05 0 0.000135253939270981 0.00048465994905435 0 0 0.000495931110660265
162 GC8-7582-T2-ITS 0 0 0.254144105698942 8.86736090713102e-05 0 4.43368045356551e-05 0.000593004760664387 2.21684022678276e-05 0.000116384111906095 0.00368549687702633
163 GC9-7100-T2-ITS 0 0 0.144145633669519 0 0 0 0.00153934743071511 0 0 0
164 GC9-7275-T2-ITS 0 0 0.101541228105824 0.00015747551509733 0 2.53992766286016e-05 0.000995651643841183 5.07985532572032e-05 0 0.000701020034949405
165 GC9-7537-T2-ITS 0 0 0.0074571984488593 2.17094569107986e-05 0 0 0.000358206039028176 0 0 1.89957747969487e-05
166 GC9-7589-T2-ITS 0 0 0.00286313987610042 0 0 7.81165090751005e-05 0.000163025758069775 6.79273991957396e-05 0 0.000115476578632757
167 GE1-7087-T2-ITS 0 0 0.07571682273809 0 0 1.58918717049197e-05 0.00137067393454933 6.35674868196789e-05 0 0.000417161632254143
168 GE1-7112-T2-ITS 0 0 0.115230259623156 7.4752033488911e-05 0 0.000149504066977822 0.000205568092094505 0 0 0
169 GE1-7638-T2-ITS 0 0 0.0243806958095679 2.94656199355966e-05 0 0 0 0 0 0.000193631216719635
170 GE1-7647-T2-ITS 0 0 0.278094939528437 3.71244245714191e-05 0 0.00012374808190473 0.000383619053904664 0 0 0
171 GE2-7383-T2-ITS 0 0 0.480478502080444 0.000173370319001387 0 4.62320850670365e-05 0.000566343042071197 0 0 0.00053166897827092
172 GE2-7483-T2-ITS 0 0 0.128977346446272 0.000155694527337364 0 6.22778109349456e-05 0.000160884344915276 0 0 0.00903028258556712
173 GE2-7530-T2-ITS 0 5.70421370266216e-05 0.187292152713209 7.4154778134608e-05 0 4.56337096212973e-05 0.00367351362451443 0 0 0.0815930728028795
174 GE2-7555-T2-ITS 0 0 0.0833204066226124 0.000155120528650762 0 0.000506727060259155 0.000248192845841219 0 0 0.000124096422920609
175 GE6-7040-T2-ITS 0 0 0.391751950376175 0 0 0.000217191110802217 0.000503883377061144 0 0 0.00146821190902299
176 GE6-7186-T2-ITS 0 0 0.147210809930052 8.14701877305897e-05 0 0.000215314067573701 0.000325880750922359 0 0 0.000517917622001606
177 GE6-7205-T2-ITS 0 0 0.0553340874517299 7.02110231306315e-05 0 0 0.000117018371884386 0 0 4.68073487537543e-05
178 GE6-7213-T2-ITS 0 0 0.132072059659336 2.15283399066531e-05 0 1.29170039439919e-05 0.000473623477946369 0 0 0
179 GE7-7423-T2-ITS 0 1.65619582859477e-05 0.0228665437401318 0.000215305457717321 0 0.000110413055239652 0.00038644569333878 0 0 1.65619582859477e-05
180 GE7-7427-T2-ITS 0 0 0.00327331401204497 4.11091241701096e-05 0 3.08318431275822e-05 5.65250457339006e-05 0 0 0
181 GE7-7575-T2-ITS 0 0 0.0187236567566086 0.000112870820957854 0 0 2.57990447903666e-05 0 0 0
182 GE7-7658-T2-ITS 0 0 0.16928731102944 0.000239962616350295 0 0 0.00021470339357658 0 0 0.00255118150014524
183 GE8-7242-T2-ITS 0 0 0.141121278741302 6.88976994431813e-05 0 0.000294381079439047 0.00272459084161672 0 4.38439905547517e-05 0.000275590797772725
184 GE8-7333-T2-ITS 0 0 0.0701293205179331 7.73156022885418e-05 0 0.000130215751222807 0.000512724520439804 2.03462111285636e-05 0 0
185 GE8-7645-T2-ITS 0 0 0.0271005019558381 0 0 0.00046871937345003 0.000434630691744573 0 0 0.00831763833613145
186 GE9-7002-T2-ITS 0 0 0.100073002614512 4.66877185834097e-05 0 6.36650707955587e-05 0.000152796169909341 0 0 8.70089300872636e-05
187 GE9-7053-T2-ITS 0 0 0.0102045460291775 5.56243837071123e-05 0 3.53973350863442e-05 0.000242724583449217 0 0 3.53973350863442e-05
188 GE9-7272-T2-ITS 0 0 0.0320606168633531 0.000201787161628153 0 0 0.00188670996122323 0.000413663681337714 0 0
189 GE9-7480-T2-ITS 0 0 0.366978565845948 5.23955690813747e-05 0 3.05640819641352e-05 0.00016591930209102 0 0 0.00265907513087977
190 GT1-7236-T2-ITS 0 0 0.125058973331372 4.56567726749289e-05 0 0.000177554115958057 0.00090298950401526 0.000243502787599621 0 0.000517443423649194
191 GT1-7384-T2-ITS 0 0 0.28287248530753 0.000106333814562007 0 0 0.00105924838352153 0 0 0.000278103822700634
192 GT1-7407-T2-ITS 0 0 0.119433634124091 0.000102503476576247 0 6.49188684982899e-05 0.00117878998062684 0 0 0.000553518773511735
